City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,Saint-Philippe,-21.3585,55.7679,78.39,77,37,9.62,RE,1672246924
1,Kieta,-6.2167,155.6333,77.81,79,98,5.55,PG,1672246927
2,Egvekinot,66.3167,-179.1667,-16.04,84,1,10.18,RU,1672246927
3,Kurchum,48.5722,83.6542,1.35,85,99,2.75,KZ,1672246928
4,Port Elizabeth,-33.918,25.5701,73.09,89,1,5.99,ZA,1672246928
5,Rovaniemi,66.5,25.7167,17.01,92,75,1.14,FI,1672246929
6,Chui,-33.6971,-53.4616,83.43,35,22,11.83,UY,1672246855
7,Zhigansk,66.7697,123.3711,-11.85,97,100,17.02,RU,1672246930
8,Punta Arenas,-53.15,-70.9167,53.11,76,99,15.88,CL,1672246931
9,Castro,-24.7911,-50.0119,74.71,82,74,8.39,BR,1672246932
10,Ribeira Grande,38.5167,-28.7,62.78,67,20,13.8,PT,1672246932
11,Vaini,-21.2,-175.2,77.36,80,100,16.26,TO,1672246933
12,Hobart,-42.8794,147.3294,50.05,70,100,5.75,AU,1672246934
13,Muros,42.7762,-9.0603,59.09,92,99,17.25,ES,1672246935
14,Staraya Mayna,54.6,48.95,14.5,91,99,11.05,RU,1672246935
15,Rikitea,-23.1203,-134.9692,77.04,75,100,8.57,PF,1672246937
16,Rolla,37.9514,-91.7713,50.14,46,0,21.85,US,1672246937
17,Mount Isa,-20.7333,139.5,78.57,83,40,3.44,AU,1672246938
18,Puerto Ayora,-0.7393,-90.3518,76.55,88,65,3.0,EC,1672246938
19,San Patricio,28.017,-97.5169,72.07,68,0,16.75,US,1672246939
20,Vardø,70.3705,31.1107,24.78,80,100,13.8,NO,1672246940
21,Atuona,-9.8,-139.0333,77.86,72,20,13.2,PF,1672246941
22,Ilulissat,69.2167,-51.1,10.42,56,40,17.27,GL,1672246941
23,Tasiilaq,65.6145,-37.6368,5.16,55,5,5.21,GL,1672246942
24,Hue,16.4667,107.6,73.51,83,75,8.05,VN,1672246943
25,Ushuaia,-54.8,-68.3,38.71,99,100,7.63,AR,1672246836
26,Mar del Plata,-38.0023,-57.5575,71.83,60,56,11.99,AR,1672246944
27,Warren,39.4334,-84.1666,42.44,61,0,11.5,US,1672246945
28,Mweka,-4.85,21.5667,70.47,96,98,1.07,CD,1672246946
29,Saint-Pierre,-21.3393,55.4781,78.48,69,0,19.57,RE,1672246947
30,Puerto Escondido,15.85,-97.0667,82.58,49,19,4.83,MX,1672246948
31,New Norfolk,-42.7826,147.0587,49.71,63,100,1.92,AU,1672246948
32,Ostrovnoy,68.0531,39.5131,21.31,86,100,18.05,RU,1672246949
33,Cape Town,-33.9258,18.4232,74.37,52,20,17.27,ZA,1672246720
34,Bontang,0.1333,117.5,77.76,85,89,3.31,ID,1672246950
35,Atocha,-20.9333,-66.2333,62.2,9,91,15.82,BO,1672246951
36,Lebu,-37.6167,-73.65,59.16,60,1,23.85,CL,1672246951
37,Ikalamavony,-21.15,46.5833,69.51,91,100,4.97,MG,1672246952
38,Clyde River,70.4692,-68.5914,-12.21,92,100,6.58,CA,1672246953
39,Ponta do Sol,32.6667,-17.1,70.12,47,93,5.48,PT,1672246955
40,Alofi,-19.0595,-169.9187,79.23,74,95,2.26,NU,1672246955
41,Guerrero Negro,27.9769,-114.0611,62.78,62,99,7.09,MX,1672246956
42,Faya,18.3851,42.4509,54.0,54,17,5.06,SA,1672246957
43,Salamanca,40.8333,-6.0,52.63,81,69,10.16,ES,1672246892
44,Hukay,13.8452,120.7029,76.57,80,98,15.41,PH,1672246958
45,Bulawayo,-20.15,28.5833,78.39,39,79,13.87,ZW,1672246959
46,Saskylakh,71.9167,114.0833,-19.86,98,100,7.54,RU,1672246959
47,Busselton,-33.65,115.3333,58.93,69,0,11.1,AU,1672246878
48,Añisoc,1.8658,10.7689,79.14,53,52,1.79,GQ,1672246961
49,Constitución,-35.3333,-72.4167,70.47,41,0,17.16,CL,1672246922
50,Rach Gia,10.0167,105.0833,76.06,68,100,5.59,VN,1672246962
51,São José da Coroa Grande,-8.8978,-35.1478,81.34,73,20,11.99,BR,1672246963
52,Plouzané,48.3833,-4.6167,53.65,90,75,24.16,FR,1672246704
53,Yellowknife,62.456,-114.3525,5.56,84,100,8.99,CA,1672246965
54,Bredasdorp,-34.5322,20.0403,69.21,59,3,19.64,ZA,1672246965
55,Meulaboh,4.1363,96.1285,76.23,86,100,2.53,ID,1672246966
56,Córdoba,-31.4135,-64.1811,85.05,37,40,12.66,AR,1672246936
57,Takahagi,36.7167,140.7167,45.09,64,2,5.86,JP,1672246967
58,Kloulklubed,7.0419,134.2556,83.43,75,81,10.2,PW,1672246968
